439023483,Suzanne Collins,The Hunger Games,4.34,2008
439554934,J.K. Rowling,Harry Potter and the Philosopher's Stone,4.44,1997
316015849,Stephenie Meyer,Twilight,3.57,2005
61120081,Harper Lee,To Kill a Mockingbird,4.25,1960
743273567,F. Scott Fitzgerald,The Great Gatsby,3.89,1925
525478817,John Green,The Fault in Our Stars,4.26,2012
618260307,J.R.R. Tolkien,The Hobbit or There and Back Again,4.25,1937
316769177,J.D. Salinger,The Catcher in the Rye,3.79,1951
1416524797,Dan Brown,Angels & Demons ,3.85,2000
679783261,Jane Austen,Pride and Prejudice,4.24,1813
1594480001,Khaled Hosseini,The Kite Runner ,4.26,2003
62024035,Veronica Roth,Divergent,4.24,2011
451524934,George Orwell,Nineteen Eighty-Four,4.14,1949
452284244,George Orwell,Animal Farm: A Fairy Story,3.87,1945
553296981,Anne Frank/ Eleanor Roosevelt/ B.M. Mooyaart-Doubleday,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,4.1,1947
439023491,Suzanne Collins,Catching Fire,4.3,2009
43965548,J.K. Rowling,Harry Potter and the Prisoner of Azkaban,4.53,1999
618346252,J.R.R. Tolkien, The Fellowship of the Ring,4.34,1954
439023513,Suzanne Collins,Mockingjay,4.03,2010
439358078,J.K. Rowling/ Mary Grand,Harry Potter and the Order of the Phoenix,4.46,2003
316166685,Alice Sebold,The Lovely Bones,3.77,2002
439064864,J.K. Rowling,Harry Potter and the Chamber of Secrets,4.37,1998
439139600,J.K. Rowling,Harry Potter and the Goblet of Fire,4.53,2000
545010225,J.K. Rowling,Harry Potter and the Deathly Hallows,4.61,2007
307277674,Dan Brown,The Da Vinci Code,3.79,2003
439785960,J.K. Rowling,Harry Potter and the Half-Blood Prince,4.54,2005
140283331,William Golding,Lord of the Flies ,3.64,1954
743477111,William Shakespeare,An Excellent conceited Tragedie of Romeo and Juliet,3.73,1595
297859382,Gillian Flynn,Gone Girl,4.03,2012
399155341,Kathryn Stockett,The Help,4.45,2009
142000671,John Steinbeck,Of Mice and Men ,3.84,1937
739326228,Arthur Golden,Memoirs of a Geisha,4.08,1997
1612130291,E.L. James,Fifty Shades of Grey,3.67,2011
61122416,Paulo Coelho,O Alquimista,3.82,1988
385732554,Lois Lowry,The Giver,4.12,1993
60764899,C.S. Lewis,The Lion/ the Witch and the Wardrobe,4.19,1950
965818675,Audrey Niffenegger,The Time Traveler's Wife,3.95,2003
553588486,George R.R. Martin,A Game of Thrones,4.45,1996
143038419,Elizabeth Gilbert,Eat/ pray/ love: one woman's search for everything across Italy/ India and Indonesia,3.51,2006
786838655,Rick Riordan,The Lightning Thief,4.23,2005
451529308,Louisa May Alcott,Little Women,4.04,1868
142437204,Charlotte Bronte/ Michael Mason,Jane Eyre,4.1,1847
553816713,Nicholas Sparks,The Notebook,4.06,1996
770430074,Yann Martel,Life of Pi,3.88,2001
1565125606,Sara Gruen,Water for Elephants,4.07,2006
375831002,Markus Zusak,The Book Thief,4.36,2005
307347974,Ray Bradbury,Fahrenheit 451,3.97,1953
316160199,Stephenie Meyer,New Moon (Twilight/ #2),3.52,2006
60513039,Shel Silverstein,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,4.29,1974
1416914285,Cassandra Clare,City of Bones,4.12,2007
316160202,Stephenie Meyer,Eclipse,3.69,2007
375826696,Christopher Paolini,Eragon,3.86,2002
345391802,Douglas Adams,The Hitchhiker's Guide to the Galaxy,4.2,1979
60929871,Aldous Huxley,Brave New World,3.97,1932
031606792X,Stephenie Meyer,Breaking Dawn,3.7,2008
142001740,Sue Monk Kidd,The Secret Life of Bees,4.01,2001
142437174,Mark Twain/ John Seelye/ Guy Cardwell,The Adventures of Huckleberry Finn,3.8,1884
64410935,E.B. White/ Garth Williams/ Rosemary Wells,Charlotte's Web,4.15,1952
1400032717,Mark Haddon,The Curious Incident of the Dog in the Night-Time,3.85,2003
1594633665,Paula Hawkins,The Girl on the Train,3.88,2015
679879242,Philip Pullman,Northern Lights,3.94,1995
393978893,Emily Brontë/ Richard J. Dunn,Wuthering Heights,3.82,1847
743454537,Jodi Picoult,My Sister's Keeper,4.06,2004
385333846,Kurt Vonnegut Jr.,Slaughterhouse-Five/ or The Children's Crusade: A Duty-Dance with Death ,4.06,1969
446675539,Margaret Mitchell,Gone with the Wind,4.28,1936
1594489505,Khaled Hosseini,A Thousand Splendid Suns,4.34,2007
671027344,Stephen Chbosky,The Perks of Being a Wallflower,4.21,1999
7442912,Veronica Roth,Insurgent,4.07,2012
812550706,Orson Scott Card,Ender's Game,4.3,1985
141439475,Mary Wollstonecraft Shelley/ Percy Bysshe Shelley/ Maurice Hindle,Frankenstein; or/ The Modern Prometheus,3.75,1818
450040186,Stephen King,The Shining,4.17,1977
316068047,Stephenie Meyer,The Host,3.84,2008
142402516,John Green,Looking for Alaska,4.09,2005
141439661,Jane Austen/ Tony Tanner/ Ros Ballaster,Sense and Sensibility,4.06,1811
439244196,Louis Sachar/ Louis Sachar,Holes,3.93,1998
307275558,Lauren Weisberger,The Devil Wears Prada,3.7,2003
156012197,Antoine de Saint/ Richard Howard/ Dom Marcos Barbosa/ Melina Karakosta,Le Petit Prince,4.28,1946
074324754X,Jeannette Walls,The Glass Castle,4.24,2005
385486804,Jon Krakauer,Into the Wild,3.94,1996
141439602,Charles Dickens/ Richard Maxwell/ Hablot Knight Browne,A Tale of Two Cities,3.81,1859
030734813X,Michael Crichton,Jurassic Park,3.96,1990
60256656,Shel Silverstein,The Giving Tree,4.38,1964
385338600,John Grisham,A Time to Kill,4.03,1989
374500010,Elie Wiesel/ Marion Wiesel,Un di Velt Hot Geshvign,4.3,1958
014241493X,John Green,Paper Towns,3.88,2008
345418263,William Goldman,The Princess Bride,4.25,1973
014038572X,S.E. Hinton,The Outsiders,4.06,1967
385737947,James Dashner,The Maze Runner,4.02,2009
61234001,Steven D. Levitt/ Stephen J. Dubner,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,3.93,2005
517189607,Frances Hodgson Burnett,The Secret Garden,4.12,1911
375751513,Oscar Wilde/ Jeffrey Eugenides,The Picture of Dorian Gray,4.06,1891
345803507,E.L. James,Fifty Shades Freed,3.88,2012
393970124,Bram Stoker/ Nina Auerbach/ David J. Skal,Dracula,3.98,1897
307269981,Stieg Larsson/ Reg Keeland,Flickan som lekte med elden,4.22,2006
1612130585,E.L. James,Fifty Shades Darker,3.87,2011
60786507,Barbara Kingsolver,The Poisonwood Bible,4.02,1998
349113912,David Sedaris,Me Talk Pretty One Day,3.97,2000
99408392,Maurice Sendak,Where the Wild Things Are,4.22,1963
140449264,Alexandre Dumas/ Robin Buss,Le Comte de Monte-Cristo,4.21,1844
307265439,Cormac McCarthy,The Road,3.95,2006
7524277,Veronica Roth,Allegiant,3.63,2013
4561,Tina Fey,Bossypants,3.94,2011
446693804,Nicholas Sparks,A Walk to Remember,4.15,1999
440241413,Sophie Kinsella,Confessions of a Shopaholic,3.61,2000
451525264,Victor Hugo/ Lee Fahnestock/ Norman MacAfee,Les Miserables,4.14,1862
553381695,George R.R. Martin,A Clash of Kings,4.4,1998
143037145,Kim Edwards,The Memory Keeper's Daughter,3.64,2005
670026603,Jojo Moyes,Me Before You,4.27,2012
684833395,Joseph Heller,Catch-22,3.98,1961
751529818,Mitch Albom/ Saulius Dagys,Tuesdays with Morrie,4.06,1997
312422156,Jeffrey Eugenides,Middlesex,3.98,2002
143039563,Mark Twain/ Guy Cardwell/ John Seelye,The Adventures of Tom Sawyer,3.89,1876
440498058,Madeleine L'Engle,A Wrinkle in Time,4.04,1962
143038095,Amy Tan,The Joy Luck Club,3.9,1989
038549081X,Margaret Atwood,The Handmaid's Tale,4.06,1985
385729332,Ann Brashares,The Sisterhood of the Traveling Pants,3.75,2001
60987103,Gregory Maguire/ Douglas Smith,Wicked: The Life and Times of the Wicked Witch of the West,3.52,1995
582418275,John Grisham,The Firm,3.99,1991
316098337,Emma Donoghue,Room,4.03,2010
521618746,William Shakespeare/ Richard Andrews/ Rex Gibson,The Tragicall Historie of Hamlet/ Prince of Denmark,4,1600
340839937,Frank Herbert,Dune,4.19,1965
316346624,Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference,3.92,2000
1451648537,Walter Isaacson,Steve Jobs,4.09,2011
451163966,Ken Kesey,One Flew Over the Cuckoo's Nest,4.18,1962
684830493,Ernest Hemingway,The Old Man and the Sea,3.73,1952
142000663,John Steinbeck,The Grapes of Wrath,3.92,1939
